Year,Month,Pais,Toneladas
2002,1,Portugal,256302.25280000002
2002,2,Andorra,223006.2603
2002,3,Andorra,217810.0301
2002,4,Andorra,164700.4718
2002,5,Andorra,100854.9235
2002,6,Andorra,51389.7765
2002,7,Andorra,27558.2058
2002,8,Andorra,13482.7252
2002,9,Andorra,13218.2038
2002,10,Andorra,56114.090000000004
2002,11,Andorra,211113.35030000002
2002,12,Andorra,237998.9746
2003,1,Andorra,254238.14544
2003,2,Andorra,214994.2893
2003,3,Andorra,198359.5391
2003,4,Andorra,155181.7024
2003,6,Andorra,49533.1474
2003,7,Andorra,22626.7656
2003,8,Andorra,11356.858764999999
2003,10,Andorra,37694.0767
2003,11,Andorra,200022.14250000002
2003,12,Andorra,256148.6424
2004,1,Andorra,270486.91109999997
2004,2,Andorra,225395.504
2004,3,Grecia,227759.00449999998
2004,4,Andorra,155799.0159
2004,6,Andorra,65034.9824
2004,7,Andorra,23205.828
2004,8,Italia,13528.9186
2004,9,Italia,12947.347000000002
2004,10,Andorra,34934.3361
2004,11,Polonia,178720.1183
2004,12,Andorra,200343.0697
2005,1,Andorra,198121.4769
2005,2,Francia,171097.1612
2005,3,Eslovenia,150160.5465
2005,4,Eslovenia,94402.9112
2005,5,Eslovenia,71611.75865
2005,6,Francia,41945.8507
2005,7,Andorra,19177.706
2005,8,Francia,10075.5096
2005,9,Alemania,13158.8225
2005,10,Francia,24431.6227
2005,11,Gibraltar,152888.4696
2005,12,Andorra,190751.7069
2006,1,Andorra,113780.7093
2006,2,Andorra,175081.0111
2006,3,Reino Unido,194521.9053
2006,4,Andorra,145005.8421
2006,5,Andorra,117229.39935
2006,6,Andorra,72801.2659
2006,7,Andorra,37054.0654
2006,8,Andorra,15601.1327
2006,9,Andorra,13488.91418
2006,10,Polonia,44715.8246
2006,11,Eslovenia,155351.0238
2006,12,Polonia,191145.5622
2007,1,Andorra,219186.365073
2007,2,Francia,195927.31094999998
2007,3,Reino Unido,225061.91304
2007,4,Francia,162098.49576
2007,5,Alemania,126852.87887
2007,6,Austria,62295.98479
2007,7,Andorra,27515.61509
2007,8,Andorra,15561.50892
2007,9,Francia,11763.394334
2007,10,Italia,27963.3999
2007,11,Eslovenia,140784.07989
2007,12,Reino Unido,194932.1165
2008,1,Eslovenia,198099.6838
2008,2,República Checa,198154.42788
2008,3,Suecia,188169.13355
2008,4,Grecia,156071.53935
2008,5,Islandia,90164.94419
2008,6,Francia,61034.2921
2008,7,Reino Unido,20680.62425
2008,8,Austria,10503.34603
2008,9,Gibraltar,28174.52687
2008,10,Reino Unido,23420.82851
2008,11,Reino Unido,149879.71355
2008,12,Noruega,196195.88191
2009,1,Países Bajos,224449.46665
2009,2,Noruega,194863.28095000001
2009,3,Portugal,223896.89443
2009,4,Reino Unido,171861.67952
2009,5,Luxemburgo,116456.879
2009,6,Suecia,70366.64672
2009,7,Eslovenia,38738.003
2009,8,Francia,17497.10205
2009,9,Países Bajos,12251.467
2009,10,Reino Unido,33929.066699999996
