Año,Provincias,Comunidad,Producción Total,Latitude,Longitude
2002,Acoruña,Galicia,258,43.37135,-8.396
2003,Acoruña,Galicia,255,43.37135,-8.396
2004,Acoruña,Galicia,295,43.37135,-8.396
2005,Acoruña,Galicia,318,43.37135,-8.396
2006,Acoruña,Galicia,318,43.37135,-8.396
2007,Acoruña,Galicia,625,43.37135,-8.396
2008,Acoruña,Galicia,633,43.37135,-8.396
2009,Acoruña,Galicia,1062,43.37135,-8.396
2010,Acoruña,Galicia,1077,43.37135,-8.396
2011,Acoruña,Galicia,1099,43.37135,-8.396
2012,Acoruña,Galicia,1099,43.37135,-8.396
2013,Acoruña,Galicia,1084,43.37135,-8.396
2014,Acoruña,Galicia,1037,43.37135,-8.396
2015,Acoruña,Galicia,1037,43.37135,-8.396
2016,Acoruña,Galicia,1037,43.37135,-8.396
2017,Acoruña,Galicia,1057,43.37135,-8.396
2018,Acoruña,Galicia,975,43.37135,-8.396
2019,Acoruña,Galicia,1021,43.37135,-8.396
2020,Acoruña,Galicia,936,43.37135,-8.396
2021,Acoruña,Galicia,866,43.37135,-8.396
2022,Acoruña,Galicia,825,43.37135,-8.396
2002,Lugo,Galicia,29,43.00992,-7.55602
2003,Lugo,Galicia,20,43.00992,-7.55602
2004,Lugo,Galicia,19,43.00992,-7.55602
2005,Lugo,Galicia,19,43.00992,-7.55602
2006,Lugo,Galicia,27,43.00992,-7.55602
2007,Lugo,Galicia,12,43.00992,-7.55602
2008,Lugo,Galicia,19,43.00992,-7.55602
2009,Lugo,Galicia,30,43.00992,-7.55602
2010,Lugo,Galicia,30,43.00992,-7.55602
2011,Lugo,Galicia,30,43.00992,-7.55602
2012,Lugo,Galicia,30,43.00992,-7.55602
2013,Lugo,Galicia,30,43.00992,-7.55602
2014,Lugo,Galicia,28,43.00992,-7.55602
2015,Lugo,Galicia,28,43.00992,-7.55602
2016,Lugo,Galicia,28,43.00992,-7.55602
2017,Lugo,Galicia,21,43.00992,-7.55602
2018,Lugo,Galicia,21,43.00992,-7.55602
2019,Lugo,Galicia,28,43.00992,-7.55602
2020,Lugo,Galicia,26,43.00992,-7.55602
2021,Lugo,Galicia,32,43.00992,-7.55602
2022,Lugo,Galicia,30,43.00992,-7.55602
2002,Ourense,Galicia,12,42.33669,-7.86407
2003,Ourense,Galicia,12,42.33669,-7.86407
2004,Ourense,Galicia,37,42.33669,-7.86407
2005,Ourense,Galicia,37,42.33669,-7.86407
2006,Ourense,Galicia,37,42.33669,-7.86407
2007,Ourense,Galicia,14,42.33669,-7.86407
2008,Ourense,Galicia,14,42.33669,-7.86407
2009,Ourense,Galicia,54,42.33669,-7.86407
2010,Ourense,Galicia,54,42.33669,-7.86407
2011,Ourense,Galicia,47,42.33669,-7.86407
2012,Ourense,Galicia,54,42.33669,-7.86407
2013,Ourense,Galicia,54,42.33669,-7.86407
2014,Ourense,Galicia,52,42.33669,-7.86407
2015,Ourense,Galicia,52,42.33669,-7.86407
2016,Ourense,Galicia,52,42.33669,-7.86407
2017,Ourense,Galicia,52,42.33669,-7.86407
2018,Ourense,Galicia,52,42.33669,-7.86407
2019,Ourense,Galicia,49,42.33669,-7.86407
2020,Ourense,Galicia,42,42.33669,-7.86407
2021,Ourense,Galicia,41,42.33669,-7.86407
2022,Ourense,Galicia,43,42.33669,-7.86407
2002,Pontevedra,Galicia,375,42.431,-8.64435
2003,Pontevedra,Galicia,405,42.431,-8.64435
2004,Pontevedra,Galicia,180,42.431,-8.64435
2005,Pontevedra,Galicia,0,42.431,-8.64435
2006,Pontevedra,Galicia,188,42.431,-8.64435
2007,Pontevedra,Galicia,203,42.431,-8.64435
2008,Pontevedra,Galicia,210,42.431,-8.64435
2009,Pontevedra,Galicia,218,42.431,-8.64435
2010,Pontevedra,Galicia,433,42.431,-8.64435
2011,Pontevedra,Galicia,441,42.431,-8.64435
2012,Pontevedra,Galicia,441,42.431,-8.64435
2013,Pontevedra,Galicia,433,42.431,-8.64435
2014,Pontevedra,Galicia,414,42.431,-8.64435
2015,Pontevedra,Galicia,414,42.431,-8.64435
2016,Pontevedra,Galicia,414,42.431,-8.64435
2017,Pontevedra,Galicia,414,42.431,-8.64435
2018,Pontevedra,Galicia,414,42.431,-8.64435
2019,Pontevedra,Galicia,370,42.431,-8.64435
2020,Pontevedra,Galicia,329,42.431,-8.64435
2021,Pontevedra,Galicia,303,42.431,-8.64435
2022,Pontevedra,Galicia,298,42.431,-8.64435
2002,Asturias,Asturias,0,43.36029,-5.84476
2003,Asturias,Asturias,0,43.36029,-5.84476
2004,Asturias,Asturias,0,43.36029,-5.84476
2005,Asturias,Asturias,0,43.36029,-5.84476
