FlowCode,FlowDesc,PartnerISO,PartnerDesc,MotDesc,Toneladas,Cifvalue,Fobvalue,datetime
X,Export,PRT,Portugal,Railway,6.596,0.0,3006.719,2002-01-01
X,Export,SWE,Suecia,Railway,44.512,0.0,19658.502,2002-01-01
X,Export,GMB,Gambia,Air,0.124,0.0,98.619,2002-01-01
X,Export,SLE,Sierra Leona,Air,0.036,0.0,28.619,2002-01-01
X,Export,MYS,Malasia,Air,0.017,0.0,5.309,2002-01-01
X,Export,CPV,Cabo Verde,Air,1.563,0.0,1608.153,2002-01-01
X,Export,GBR,Reino Unido,Air,39.737,0.0,14746.032,2002-01-01
X,Export,FIN,Finlandia,Other,66.739,0.0,35737.03,2002-01-01
X,Export,DNK,Dinamarca,Other,46.845,0.0,16137.311,2002-01-01
X,Export,SWE,Suecia,Other,334.888,0.0,132376.906,2002-01-01
X,Export,AUT,Austria,Other,3.96,0.0,1468.911,2002-01-01
X,Export,BEL,Bélgica,Other,2431.831,0.0,1388869.005,2002-01-01
X,Export,NLD,Países Bajos,Other,1814.52,0.0,732166.13,2002-01-01
X,Export,DEU,Alemania,Other,5070.967,0.0,1901620.06,2002-01-01
X,Export,GBR,Reino Unido,Other,1375.24,0.0,449325.048,2002-01-01
X,Export,ITA,Italia,Other,264.36,0.0,112116.0,2002-01-01
X,Export,PRT,Portugal,Other,150.779,0.0,44876.335,2002-01-01
X,Export,MRT,Mauritania,Sea,101.45,0.0,37031.403,2002-01-01
X,Export,GTM,Grecia,Sea,7.847,0.0,3651.194,2002-01-01
X,Export,CAN,Canadá,Sea,1460.247,0.0,709063.556,2002-01-01
X,Export,RUS,Rusia,Sea,1600.64,0.0,564238.418,2002-01-01
X,Export,CPV,Cabo Verde,Sea,18.51,0.0,9849.567,2002-01-01
X,Export,SLE,Sierra Leona,Sea,3.0,0.0,1589.922,2002-01-01
X,Export,AUS,Australia,Sea,25.024,0.0,8635.043,2002-01-01
X,Export,LKA,Sri Lanka,Sea,20.944,0.0,8565.325,2002-01-01
X,Export,BRA,Brasil,Sea,107.545,0.0,47997.36,2002-01-01
X,Export,MYS,Malasia,Sea,6.495,0.0,4137.33,2002-01-01
X,Export,ARG,Argentina,Sea,22.68,0.0,11566.453,2002-01-01
X,Export,JPN,Japón,Sea,69.632,0.0,34589.495,2002-01-01
X,Export,DNK,Dinamarca,Road,3771.04,0.0,1463438.538,2002-01-01
X,Export,GBR,Reino Unido,Road,19359.874,0.0,8850497.018,2002-01-01
X,Export,AUT,Austria,Road,4130.92,0.0,1835624.986,2002-01-01
