Grupo,Comunidad
Navel,Cataluña
Navel,Baleares
Navel,Castilla y León
Navel,C. Valenciana
Navel,R. De Murcia
Navel,Extremadura
Navel,Andalucía
Navel,Canarias
Tardías,País Vasco
Tardías,Cataluña
Tardías,Baleares
Tardías,C. Valenciana
Tardías,R. De Murcia
Tardías,Extremadura
Tardías,Canarias
Tardías,Andalucía
Sanguinas,Andalucía
Sanguinas,R. De Murcia
Sanguinas,C. Valenciana
Blancas y Dulces,Galicia
Blancas y Dulces,Asturias
Blancas y Dulces,Cataluña
Blancas y Dulces,Baleares
Blancas y Dulces,Castilla y León
Blancas y Dulces,C. Valenciana
Blancas y Dulces,R. De Murcia
Blancas y Dulces,Extremadura
Blancas y Dulces,Andalucía
Blancas y Dulces,Canarias
