Año,temp,dew,humidity,precip,solarradiation,solarenergy,hours_of_light,Provincias,Comunidad,Superficie Plantación,Producción Total
2002,13.936164383561643,10.452876712328768,80.74657534246575,927.149,0.0,0.0,4460.395555555556,Acoruña,Galicia,9,258
2003,13.993698630136986,9.86109589041096,77.62657534246576,788.967,0.0,0.0,4460.390833333333,Acoruña,Galicia,10,255
2004,13.591803278688525,9.285245901639344,76.69234972677596,452.685,0.0,0.0,4469.4077777777775,Acoruña,Galicia,14,295
2005,13.57972602739726,8.973972602739726,75.40356164383562,685.767,0.0,0.0,4460.39,Acoruña,Galicia,17,318
2006,14.305205479452054,9.85068493150685,76.23013698630137,819.9,0.0,0.0,4460.385833333334,Acoruña,Galicia,34,318
2007,13.536438356164384,9.434794520547944,77.74630136986302,510.058,0.0,0.0,4460.385833333334,Acoruña,Galicia,58,625
2008,13.64535519125683,9.668032786885245,78.39726775956285,783.798,0.0,0.0,4469.398888888889,Acoruña,Galicia,59,633
2009,13.810958904109588,9.805753424657533,78.34794520547945,748.1,0.0,0.0,4460.381388888889,Acoruña,Galicia,57,1062
2010,13.837808219178083,10.10876712328767,79.73095890410958,703.576,65278.2,5636.6,4460.383055555556,Acoruña,Galicia,59,1077
2011,14.483287671232876,11.016164383561645,81.3882191780822,494.954,66957.9,5782.4,4460.378611111111,Acoruña,Galicia,62,1099
2012,13.30983606557377,8.565573770491802,74.93633879781422,723.734,65078.7,5618.5,4469.394722222222,Acoruña,Galicia,62,1099
2013,14.561095890410959,10.703013698630137,79.19972602739726,884.322,64896.3,5604.2,4460.376388888889,Acoruña,Galicia,60,1084
2014,14.354794520547944,10.912602739726028,81.16876712328767,769.054,62125.9,5364.5,4460.373888888889,Acoruña,Galicia,60,1037
2015,14.389041095890411,10.630958904109589,79.54493150684932,468.23,58782.6,5073.5,4460.3694444444445,Acoruña,Galicia,60,1037
2016,14.003551912568307,10.633333333333335,81.25054644808743,798.977,58992.9,5092.1,4469.388055555555,Acoruña,Galicia,60,1037
2017,14.235890410958906,10.386849315068492,79.12273972602739,670.516,60352.5,5209.1,4460.362222222222,Acoruña,Galicia,57,1057
2018,13.972328767123287,10.456986301369863,80.4249315068493,1208.08,44154.7,3810.0,4460.362222222222,Acoruña,Galicia,46,975
2019,14.00931506849315,10.24958904109589,79.33917808219178,1019.256,51624.9,4456.5,4460.3625,Acoruña,Galicia,54,1021
2020,14.60983606557377,11.09672131147541,80.50027322404371,904.721,49777.8,4295.7,4469.374444444445,Acoruña,Galicia,54,936
2021,14.313698630136987,10.542191780821918,79.33041095890411,1039.334,51537.1,4448.4,4460.354722222222,Acoruña,Galicia,53,866
2022,14.982465753424659,11.103013698630138,78.74931506849315,914.819,49884.2,4307.3,4460.3533333333335,Acoruña,Galicia,51,825
2002,13.31013698630137,9.89123287671233,81.1668493150685,1165.324,0.0,0.0,4459.725555555556,Lugo,Galicia,2,29
2003,13.396438356164383,9.503561643835617,79.05643835616438,1143.744,0.0,0.0,4459.724722222222,Lugo,Galicia,1,20
2004,12.918306010928962,8.97704918032787,78.63907103825137,803.328,0.0,0.0,4468.775,Lugo,Galicia,2,19
2005,12.77780821917808,8.475068493150685,77.06356164383561,937.976,0.0,0.0,4459.7202777777775,Lugo,Galicia,2,19
2006,13.574246575342467,9.485205479452054,78.36054794520548,1194.376,0.0,0.0,4459.7172222222225,Lugo,Galicia,6,27
2007,12.829589041095891,9.04054794520548,79.59972602739727,786.061,0.0,0.0,4459.715833333334,Lugo,Galicia,1,12
2008,12.918579234972677,9.363661202185792,80.7068306010929,1027.164,0.0,0.0,4468.767222222222,Lugo,Galicia,2,19
2009,13.136712328767123,9.452876712328768,80.19342465753424,1242.192,0.0,0.0,4459.708888888889,Lugo,Galicia,2,30
2010,12.944657534246575,9.35013698630137,80.57534246575342,1302.495,68499.8,5916.1,4459.711666666667,Lugo,Galicia,2,30
2011,13.73095890410959,10.236438356164385,81.41890410958905,802.001,70130.0,6061.1,4459.711111111111,Lugo,Galicia,2,30
2012,12.94535519125683,8.733060109289617,77.77704918032788,840.705,69125.2,5969.9,4468.763333333333,Lugo,Galicia,2,30
2013,13.648767123287671,9.93945205479452,80.16301369863014,1286.746,68109.8,5878.1,4459.705833333333,Lugo,Galicia,2,30
2014,13.621917808219179,10.377260273972603,82.33397260273973,1331.555,66148.5,5711.1,4459.704722222222,Lugo,Galicia,2,28
2015,13.276986301369863,9.652602739726026,80.59671232876713,742.743,59560.3,5142.3,4459.7,Lugo,Galicia,2,28
2016,12.297267759562843,9.324863387978143,83.8344262295082,1055.296,58749.7,5073.3,4468.7555555555555,Lugo,Galicia,2,28
2017,12.614520547945206,9.241643835616438,81.93643835616439,686.721,61030.1,5269.3,4459.693888888889,Lugo,Galicia,1,21
2018,12.392602739726028,9.275068493150686,82.72904109589041,1103.132,52304.4,4512.9,4459.695555555556,Lugo,Galicia,1,21
2019,12.333698630136986,8.941095890410958,81.60219178082191,1173.416,54084.2,4669.1,4459.690555555556,Lugo,Galicia,4,28
2020,13.146448087431695,9.85601092896175,82.1827868852459,984.225,53805.5,4643.2,4468.743611111111,Lugo,Galicia,4,26
2021,12.460821917808218,9.018356164383562,81.22356164383561,814.614,54358.2,4691.0,4459.686944444445,Lugo,Galicia,3,32
2022,13.397808219178081,9.810958904109588,80.48465753424658,884.789,51754.9,4466.0,4459.686111111111,Lugo,Galicia,3,30
2002,13.664109589041095,10.01972602739726,80.65205479452055,1565.002,0.0,0.0,4458.345,Ourense,Galicia,2,12
2003,13.844109589041096,9.826575342465754,78.94876712328767,1467.966,0.0,0.0,4458.348055555555,Ourense,Galicia,2,12
2004,13.240710382513662,9.164207650273223,78.49207650273223,943.836,0.0,0.0,4467.478055555555,Ourense,Galicia,3,37
2005,12.517260273972603,8.055890410958904,76.65972602739726,1076.08,0.0,0.0,4458.3405555555555,Ourense,Galicia,3,37
2006,13.606849315068493,9.348219178082191,78.36219178082192,1486.198,0.0,0.0,4458.3425,Ourense,Galicia,6,37
2007,13.01095890410959,8.684657534246575,77.71534246575342,929.399,0.0,0.0,4458.339444444445,Ourense,Galicia,0,14
2008,12.754918032786886,9.102732240437158,80.76748633879782,1329.656,0.0,0.0,4467.475555555556,Ourense,Galicia,0,14
2009,13.286301369863013,9.399452054794521,79.76328767123287,1639.1390000000001,0.0,0.0,4458.338055555556,Ourense,Galicia,1,54
2010,13.209041095890411,9.009863013698629,78.46438356164384,1667.172,67629.6,5838.9,4458.337777777778,Ourense,Galicia,1,54
2011,13.894794520547947,9.66,78.45095890410958,1256.831,69702.6,6021.0,4458.336944444444,Ourense,Galicia,0,47
2012,12.98415300546448,9.22103825136612,80.33879781420765,1156.099,67658.4,5844.8,4467.466111111111,Ourense,Galicia,1,54
2013,13.41835616438356,9.376986301369863,79.19479452054794,1714.592,67842.4,5856.6,4458.328333333333,Ourense,Galicia,1,54
2014,13.933698630136988,10.52164383561644,82.22410958904109,1772.984,65001.9,5610.6,4458.333611111111,Ourense,Galicia,1,52
2015,14.564383561643835,9.83945205479452,76.68465753424658,824.917,63573.4,5490.3,4458.327222222222,Ourense,Galicia,1,52
2016,14.697267759562841,9.935792349726777,76.92868852459017,1337.8220000000001,62315.3,5379.5,4467.4608333333335,Ourense,Galicia,1,52
2017,15.129041095890411,9.487671232876712,73.39972602739726,579.079,65991.3,5698.7,4458.321944444445,Ourense,Galicia,1,52
2018,14.880547945205478,9.830684931506848,75.40493150684931,1020.695,53200.1,4594.9,4458.322777777777,Ourense,Galicia,1,52
2019,14.467123287671233,8.829589041095891,72.80739726027397,858.086,56133.3,4847.8,4458.316111111111,Ourense,Galicia,1,49
2020,15.10655737704918,9.969398907103825,75.02021857923498,1096.667,55097.2,4758.8,4467.453611111111,Ourense,Galicia,1,42
2021,13.962191780821918,9.723013698630137,77.96575342465754,1243.685,58868.8,5084.3,4458.313055555555,Ourense,Galicia,1,41
